# Please wait, building network...
# 0.075 # 0.124 # 0.075 
# 0.124 # 0.204 # 0.124 
# 0.075 # 0.124 # 0.075 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.002 # 0.010 # 0.029 # 0.057 # 0.071 # 0.057 # 0.029 # 0.010 # 0.002 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
Locale set to C.
Number of images with traffic signs within criterion = 24
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00006.ppm
''Image file name: /home/alberto/TIAGO/haar_competition/test_full/00260.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00023.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00006.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00003.ppm
image = 00003; scale_factor = 0.31250; x =  313; y = 313; confidence = 0.01; MISS
image = 00101; scale_factor = 1.87460; x =  323; y = 114; confidence = 0.41; MISS
image = 00101; scale_factor = 1.87460; x =  371; y = 106; confidence = 0.17; MISS
image = 00101; scale_factor = 1.87460; x =  407; y = 139; confidence = 0.80; MISS
image = 00101; scale_factor = 1.87460; x =  477; y = 106; confidence = 0.19; MISS
image = 00101; scale_factor = 1.87460; x =  526; y =  77; confidence = 0.16; MISS
image = 00101; scale_factor = 1.87460; x =  578; y = 104; confidence = 0.04; MISS
image = 00101; scale_factor = 1.87460; x =  646; y = 111; confidence = 0.17; MISS
image = 00101; scale_factor = 1.87460; x =  717; y = 149; confidence = 0.31; MISS
image = 00101; scale_factor = 1.87460; x =  742; y = 104; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  786; y = 101; confidence = 0.28; MISS
image = 00101; scale_factor = 1.87460; x =  848; y = 103; confidence = 0.08; MISS
image = 00101; scale_factor = 1.87460; x =  902; y = 106; confidence = 0.35; MISS
image = 00101; scale_factor = 1.87460; x =  950; y = 107; confidence = 0.05; MISS
image = 00101; scale_factor = 1.87460; x =  998; y = 112; confidence = 0.29; MISS
image = 00101; scale_factor = 1.87460; x = 1044; y = 110; confidence = 0.05; MISS
image = 00101; scale_factor = 1.87460; x = 1103; y = 129; confidence = 0.09; MISS
image = 00101; scale_factor = 1.87460; x = 1154; y = 110; confidence = 0.11; MISS
image = 00101; scale_factor = 1.87460; x = 1241; y = 117; confidence = 0.26; MISS
image = 00101; scale_factor = 1.87460; x = 1279; y = 106; confidence = 0.20; MISS
image = 00101; scale_factor = 1.87460; x = 1345; y = 118; confidence = 0.01; MISS
image = 00101; scale_factor = 1.87460; x =   68; y = 164; confidence = 0.05; MISS
image = 00101; scale_factor = 1.87460; x =  124; y = 173; confidence = 0.48; MISS
image = 00101; scale_factor = 1.87460; x =  162; y = 159; confidence = 0.09; MISS
image = 00101; scale_factor = 1.87460; x =  208; y = 154; confidence = 0.24; MISS
image = 00101; scale_factor = 1.87460; x =  272; y = 148; confidence = 0.49; MISS
image = 00101; scale_factor = 1.87460; x =  316; y = 159; confidence = 0.43; MISS
image = 00101; scale_factor = 1.87460; x =  407; y = 139; confidence = 0.82; MISS
image = 00101; scale_factor = 1.87460; x =  413; y = 149; confidence = 0.55; MISS
image = 00101; scale_factor = 1.87460; x =  478; y = 159; confidence = 0.04; MISS
image = 00101; scale_factor = 1.87460; x =  544; y = 153; confidence = 0.45; MISS
image = 00101; scale_factor = 1.87460; x =  587; y = 179; confidence = 0.41; MISS
image = 00101; scale_factor = 1.87460; x =  641; y = 154; confidence = 0.06; MISS
image = 00101; scale_factor = 1.87460; x =  688; y = 159; confidence = 0.07; MISS
image = 00101; scale_factor = 1.87460; x =  713; y = 144; confidence = 0.14; MISS
image = 00101; scale_factor = 1.87460; x =  796; y = 149; confidence = 0.38; MISS
image = 00101; scale_factor = 1.87460; x =  850; y = 154; confidence = 0.22; MISS
image = 00101; scale_factor = 1.87460; x =  926; y = 161; confidence = 0.14; MISS
image = 00101; scale_factor = 1.87460; x =  952; y = 176; confidence = 0.19; MISS
image = 00101; scale_factor = 1.87460; x = 1002; y = 167; confidence = 0.10; MISS
image = 00101; scale_factor = 1.87460; x = 1030; y = 136; confidence = 0.15; MISS
image = 00101; scale_factor = 1.87460; x = 1127; y = 208; confidence = 0.13; MISS
image = 00101; scale_factor = 1.87460; x = 1166; y = 156; confidence = 0.25; MISS
image = 00101; scale_factor = 1.87460; x = 1198; y = 204; confidence = 0.24; MISS
image = 00101; scale_factor = 1.87460; x = 1273; y = 157; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x = 1291; y = 169; confidence = 0.01; MISS
image = 00101; scale_factor = 1.87460; x =   73; y = 166; confidence = 0.09; MISS
image = 00101; scale_factor = 1.87460; x =  129; y = 173; confidence = 0.30; MISS
image = 00101; scale_factor = 1.87460; x =  129; y = 173; confidence = 0.28; MISS
image = 00101; scale_factor = 1.87460; x =  205; y = 212; confidence = 0.25; MISS
image = 00101; scale_factor = 1.87460; x =  255; y = 191; confidence = 0.43; MISS
image = 00101; scale_factor = 1.87460; x =  287; y = 179; confidence = 0.47; MISS
image = 00101; scale_factor = 1.87460; x =  379; y = 190; confidence = 0.17; MISS
image = 00101; scale_factor = 1.87460; x =  380; y = 190; confidence = 0.41; MISS
image = 00101; scale_factor = 1.87460; x =  497; y = 211; confidence = 0.21; MISS
image = 00101; scale_factor = 1.87460; x =  511; y = 213; confidence = 0.13; MISS
image = 00101; scale_factor = 1.87460; x =  576; y = 245; confidence = 0.31; MISS
image = 00101; scale_factor = 1.87460; x =  636; y = 211; confidence = 0.05; MISS
image = 00101; scale_factor = 1.87460; x =  702; y = 187; confidence = 0.42; MISS
image = 00101; scale_factor = 1.87460; x =  738; y = 212; confidence = 0.03; MISS
image = 00101; scale_factor = 1.87460; x =  812; y = 191; confidence = 0.15; MISS
image = 00101; scale_factor = 1.87460; x =  837; y = 197; confidence = 0.26; MISS
image = 00101; scale_factor = 1.87460; x =  923; y = 187; confidence = 0.42; MISS
image = 00101; scale_factor = 1.87460; x =  969; y = 211; confidence = 0.23; MISS
image = 00101; scale_factor = 1.87460; x = 1008; y = 210; confidence = 0.22; MISS
image = 00101; scale_factor = 1.87460; x = 1070; y = 210; confidence = 0.36; MISS
image = 00101; scale_factor = 1.87460; x = 1115; y = 211; confidence = 0.12; MISS
image = 00101; scale_factor = 1.87460; x = 1200; y = 204; confidence = 0.36; MISS
image = 00101; scale_factor = 1.87460; x = 1202; y = 204; confidence = 0.38; MISS
image = 00101; scale_factor = 1.87460; x = 1267; y = 211; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x = 1326; y = 214; confidence = 0.03; MISS
image = 00101; scale_factor = 1.87460; x =   56; y = 237; confidence = 0.27; MISS
image = 00101; scale_factor = 1.87460; x =   82; y = 270; confidence = 0.06; MISS
image = 00101; scale_factor = 1.87460; x =  165; y = 252; confidence = 0.02; MISS
image = 00101; scale_factor = 1.87460; x =  238; y = 258; confidence = 0.33; MISS
image = 00101; scale_factor = 1.87460; x =  239; y = 259; confidence = 0.21; MISS
image = 00101; scale_factor = 1.87460; x =  328; y = 261; confidence = 0.21; MISS
image = 00101; scale_factor = 1.87460; x =  367; y = 272; confidence = 0.24; MISS
image = 00101; scale_factor = 1.87460; x =  424; y = 257; confidence = 0.38; MISS
image = 00101; scale_factor = 1.87460; x =  510; y = 264; confidence = 0.47; MISS
image = 00101; scale_factor = 1.87460; x =  511; y = 264; confidence = 0.47; MISS
image = 00101; scale_factor = 1.87460; x =  571; y = 262; confidence = 0.43; MISS
image = 00101; scale_factor = 1.87460; x =  623; y = 254; confidence = 0.23; MISS
image = 00101; scale_factor = 1.87460; x =  675; y = 294; confidence = 0.70; MISS
image = 00101; scale_factor = 1.87460; x =  741; y = 265; confidence = 0.18; MISS
image = 00101; scale_factor = 1.87460; x =  796; y = 244; confidence = 0.06; MISS
image = 00101; scale_factor = 1.87460; x =  848; y = 265; confidence = 0.17; MISS
image = 00101; scale_factor = 1.87460; x =  883; y = 273; confidence = 0.37; MISS
image = 00101; scale_factor = 1.87460; x =  966; y = 275; confidence = 0.25; MISS
image = 00101; scale_factor = 1.87460; x = 1005; y = 263; confidence = 0.20; MISS
image = 00101; scale_factor = 1.87460; x = 1042; y = 291; confidence = 0.06; MISS
image = 00101; scale_factor = 1.87460; x = 1088; y = 250; confidence = 0.14; MISS
image = 00101; scale_factor = 1.87460; x = 1129; y = 266; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x = 1219; y = 262; confidence = 0.18; MISS
image = 00101; scale_factor = 1.87460; x = 1273; y = 263; confidence = 0.01; MISS
image = 00101; scale_factor = 1.87460; x = 1292; y = 284; confidence = 0.20; MISS
image = 00101; scale_factor = 1.87460; x =   53; y = 310; confidence = 0.01; MISS
image = 00101; scale_factor = 1.87460; x =  110; y = 325; confidence = 0.32; MISS
image = 00101; scale_factor = 1.87460; x =  110; y = 326; confidence = 0.35; MISS
image = 00101; scale_factor = 1.87460; x =  213; y = 318; confidence = 0.20; MISS
image = 00101; scale_factor = 1.87460; x =  279; y = 301; confidence = 0.29; MISS
image = 00101; scale_factor = 1.87460; x =  316; y = 316; confidence = 0.19; MISS
image = 00101; scale_factor = 1.87460; x =  371; y = 320; confidence = 0.24; MISS
image = 00101; scale_factor = 1.87460; x =  397; y = 300; confidence = 0.14; MISS
image = 00101; scale_factor = 1.87460; x =  478; y = 318; confidence = 0.01; MISS
image = 00101; scale_factor = 1.87460; x =  535; y = 320; confidence = 0.07; MISS
image = 00101; scale_factor = 1.87460; x =  575; y = 308; confidence = 0.27; MISS
image = 00101; scale_factor = 1.87460; x =  673; y = 297; confidence = 0.66; MISS
image = 00101; scale_factor = 1.87460; x =  674; y = 297; confidence = 0.67; MISS
image = 00101; scale_factor = 1.87460; x =  721; y = 305; confidence = 0.45; MISS
image = 00101; scale_factor = 1.87460; x =  817; y = 323; confidence = 0.17; MISS
image = 00101; scale_factor = 1.87460; x =  820; y = 318; confidence = 0.29; MISS
image = 00101; scale_factor = 1.87460; x =  907; y = 330; confidence = 0.28; MISS
image = 00101; scale_factor = 1.87460; x =  964; y = 297; confidence = 0.30; MISS
image = 00101; scale_factor = 1.87460; x =  966; y = 297; confidence = 0.28; MISS
image = 00101; scale_factor = 1.87460; x = 1041; y = 292; confidence = 0.05; MISS
image = 00101; scale_factor = 1.87460; x = 1114; y = 319; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x = 1187; y = 300; confidence = 0.01; MISS
image = 00101; scale_factor = 1.87460; x = 1214; y = 334; confidence = 0.14; MISS
image = 00101; scale_factor = 1.87460; x = 1268; y = 325; confidence = 0.23; MISS
image = 00101; scale_factor = 1.87460; x = 1311; y = 289; confidence = 0.01; MISS
image = 00101; scale_factor = 1.87460; x =   30; y = 332; confidence = 0.19; MISS
image = 00101; scale_factor = 1.87460; x =  100; y = 381; confidence = 0.01; MISS
image = 00101; scale_factor = 1.87460; x =  157; y = 371; confidence = 0.13; MISS
image = 00101; scale_factor = 1.87460; x =  220; y = 367; confidence = 0.05; MISS
image = 00101; scale_factor = 1.87460; x =  237; y = 376; confidence = 0.17; MISS
image = 00101; scale_factor = 1.87460; x =  300; y = 329; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  345; y = 366; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  420; y = 361; confidence = 0.14; MISS
image = 00101; scale_factor = 1.87460; x =  477; y = 371; confidence = 0.14; MISS
image = 00101; scale_factor = 1.87460; x =  546; y = 323; confidence = 0.19; MISS
image = 00101; scale_factor = 1.87460; x =  581; y = 341; confidence = 0.02; MISS
image = 00101; scale_factor = 1.87460; x =  638; y = 340; confidence = 0.07; MISS
image = 00101; scale_factor = 1.87460; x =  709; y = 348; confidence = 0.17; MISS
image = 00101; scale_factor = 1.87460; x =  750; y = 346; confidence = 0.05; MISS
image = 00101; scale_factor = 1.87460; x =  795; y = 372; confidence = 0.05; MISS
image = 00101; scale_factor = 1.87460; x =  862; y = 363; confidence = 0.20; HIT;  T.S. Type =  5; Width =  56
image = 00101; scale_factor = 1.87460; x =  861; y = 372; confidence = 0.24; HIT;  T.S. Type =  5; Width =  56
image = 00101; scale_factor = 1.87460; x =  945; y = 366; confidence = 0.52; MISS
image = 00101; scale_factor = 1.87460; x = 1015; y = 388; confidence = 0.37; MISS
image = 00101; scale_factor = 1.87460; x = 1025; y = 379; confidence = 0.04; MISS
image = 00101; scale_factor = 1.87460; x = 1119; y = 364; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x = 1170; y = 357; confidence = 0.09; MISS
image = 00101; scale_factor = 1.87460; x = 1210; y = 359; confidence = 0.10; MISS
image = 00101; scale_factor = 1.87460; x = 1302; y = 393; confidence = 0.02; MISS
image = 00101; scale_factor = 1.87460; x = 1329; y = 375; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =   49; y = 438; confidence = 0.01; MISS
image = 00101; scale_factor = 1.87460; x =  115; y = 436; confidence = 0.06; MISS
image = 00101; scale_factor = 1.87460; x =  161; y = 422; confidence = 0.23; MISS
image = 00101; scale_factor = 1.87460; x =  210; y = 430; confidence = 0.28; MISS
image = 00101; scale_factor = 1.87460; x =  287; y = 439; confidence = 0.03; MISS
image = 00101; scale_factor = 1.87460; x =  350; y = 448; confidence = 0.32; MISS
image = 00101; scale_factor = 1.87460; x =  372; y = 424; confidence = 0.08; MISS
image = 00101; scale_factor = 1.87460; x =  417; y = 431; confidence = 0.30; MISS
image = 00101; scale_factor = 1.87460; x =  471; y = 408; confidence = 0.10; MISS
image = 00101; scale_factor = 1.87460; x =  515; y = 401; confidence = 0.04; MISS
image = 00101; scale_factor = 1.87460; x =  576; y = 385; confidence = 0.01; MISS
image = 00101; scale_factor = 1.87460; x =  634; y = 398; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  707; y = 376; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  760; y = 427; confidence = 0.23; MISS
image = 00101; scale_factor = 1.87460; x =  797; y = 430; confidence = 0.31; MISS
image = 00101; scale_factor = 1.87460; x =  855; y = 471; confidence = 0.46; MISS
image = 00101; scale_factor = 1.87460; x =  909; y = 432; confidence = 0.29; MISS
image = 00101; scale_factor = 1.87460; x =  962; y = 429; confidence = 0.43; MISS
image = 00101; scale_factor = 1.87460; x = 1021; y = 417; confidence = 0.39; MISS
image = 00101; scale_factor = 1.87460; x = 1022; y = 420; confidence = 0.13; MISS
image = 00101; scale_factor = 1.87460; x = 1111; y = 420; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x = 1153; y = 406; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x = 1216; y = 423; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x = 1251; y = 411; confidence = 0.08; MISS
image = 00101; scale_factor = 1.87460; x = 1347; y = 401; confidence = 0.22; MISS
image = 00101; scale_factor = 1.87460; x =   54; y = 479; confidence = 0.38; MISS
image = 00101; scale_factor = 1.87460; x =  113; y = 479; confidence = 0.02; MISS
image = 00101; scale_factor = 1.87460; x =  164; y = 459; confidence = 0.43; MISS
image = 00101; scale_factor = 1.87460; x =  213; y = 481; confidence = 0.12; MISS
image = 00101; scale_factor = 1.87460; x =  267; y = 471; confidence = 0.18; MISS
image = 00101; scale_factor = 1.87460; x =  326; y = 486; confidence = 0.13; MISS
image = 00101; scale_factor = 1.87460; x =  364; y = 468; confidence = 0.18; MISS
image = 00101; scale_factor = 1.87460; x =  417; y = 464; confidence = 0.33; MISS
image = 00101; scale_factor = 1.87460; x =  440; y = 440; confidence = 0.21; MISS
image = 00101; scale_factor = 1.87460; x =  530; y = 477; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  583; y = 477; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  636; y = 477; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  689; y = 477; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  788; y = 489; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  796; y = 476; confidence = 0.02; MISS
image = 00101; scale_factor = 1.87460; x =  854; y = 470; confidence = 0.38; MISS
image = 00101; scale_factor = 1.87460; x =  939; y = 469; confidence = 0.22; MISS
image = 00101; scale_factor = 1.87460; x =  953; y = 475; confidence = 0.02; MISS
image = 00101; scale_factor = 1.87460; x = 1011; y = 477; confidence = 0.01; MISS
image = 00101; scale_factor = 1.87460; x = 1085; y = 490; confidence = 0.05; MISS
image = 00101; scale_factor = 1.87460; x = 1106; y = 481; confidence = 0.12; MISS
image = 00101; scale_factor = 1.87460; x = 1166; y = 477; confidence = 0.09; MISS
image = 00101; scale_factor = 1.87460; x = 1231; y = 483; confidence = 0.19; MISS
image = 00101; scale_factor = 1.87460; x = 1256; y = 469; confidence = 0.02; MISS
image = 00101; scale_factor = 1.87460; x = 1315; y = 487; confidence = 0.23; MISS
image = 00101; scale_factor = 1.87460; x =   65; y = 513; confidence = 0.49; MISS
image = 00101; scale_factor = 1.87460; x =  121; y = 521; confidence = 0.39; MISS
image = 00101; scale_factor = 1.87460; x =  192; y = 532; confidence = 0.37; MISS
image = 00101; scale_factor = 1.87460; x =  212; y = 530; confidence = 0.32; MISS
image = 00101; scale_factor = 1.87460; x =  258; y = 555; confidence = 0.42; MISS
image = 00101; scale_factor = 1.87460; x =  328; y = 486; confidence = 0.28; MISS
image = 00101; scale_factor = 1.87460; x =  355; y = 482; confidence = 0.09; MISS
image = 00101; scale_factor = 1.87460; x =  395; y = 486; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  477; y = 530; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  530; y = 530; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  583; y = 530; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  636; y = 530; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  689; y = 530; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  789; y = 530; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  795; y = 528; confidence = 0.10; MISS
image = 00101; scale_factor = 1.87460; x =  871; y = 527; confidence = 0.24; MISS
image = 00101; scale_factor = 1.87460; x =  897; y = 526; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  953; y = 529; confidence = 0.21; MISS
image = 00101; scale_factor = 1.87460; x = 1012; y = 535; confidence = 0.45; MISS
image = 00101; scale_factor = 1.87460; x = 1043; y = 521; confidence = 0.02; MISS
image = 00101; scale_factor = 1.87460; x = 1118; y = 524; confidence = 0.02; MISS
image = 00101; scale_factor = 1.87460; x = 1169; y = 528; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x = 1176; y = 523; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x = 1276; y = 530; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x = 1321; y = 504; confidence = 0.01; MISS
image = 00101; scale_factor = 1.87460; x =   66; y = 574; confidence = 0.66; MISS
image = 00101; scale_factor = 1.87460; x =   90; y = 608; confidence = 0.55; MISS
image = 00101; scale_factor = 1.87460; x =  155; y = 584; confidence = 0.05; MISS
image = 00101; scale_factor = 1.87460; x =  232; y = 590; confidence = 0.34; MISS
image = 00101; scale_factor = 1.87460; x =  236; y = 575; confidence = 0.42; MISS
image = 00101; scale_factor = 1.87460; x =  278; y = 550; confidence = 0.10; MISS
image = 00101; scale_factor = 1.87460; x =  371; y = 583; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  424; y = 583; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  477; y = 583; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  530; y = 583; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  583; y = 583; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  636; y = 583; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  689; y = 583; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  742; y = 583; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  821; y = 539; confidence = 0.10; MISS
image = 00101; scale_factor = 1.87460; x =  861; y = 579; confidence = 0.42; MISS
image = 00101; scale_factor = 1.87460; x =  900; y = 582; confidence = 0.21; MISS
image = 00101; scale_factor = 1.87460; x =  955; y = 588; confidence = 0.20; MISS
image = 00101; scale_factor = 1.87460; x = 1009; y = 576; confidence = 0.04; MISS
image = 00101; scale_factor = 1.87460; x = 1064; y = 586; confidence = 0.04; MISS
image = 00101; scale_factor = 1.87460; x = 1113; y = 581; confidence = 0.15; MISS
image = 00101; scale_factor = 1.87460; x = 1168; y = 587; confidence = 0.18; MISS
image = 00101; scale_factor = 1.87460; x = 1263; y = 563; confidence = 0.20; MISS
image = 00101; scale_factor = 1.87460; x = 1273; y = 586; confidence = 0.15; MISS
image = 00101; scale_factor = 1.87460; x = 1321; y = 605; confidence = 0.15; MISS
image = 00101; scale_factor = 1.87460; x =   65; y = 610; confidence = 0.48; MISS
image = 00101; scale_factor = 1.87460; x =  115; y = 632; confidence = 0.16; MISS
image = 00101; scale_factor = 1.87460; x =  133; y = 618; confidence = 0.37; MISS
image = 00101; scale_factor = 1.87460; x =  190; y = 613; confidence = 0.25; MISS
image = 00101; scale_factor = 1.87460; x =  234; y = 600; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  318; y = 636; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  371; y = 636; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  424; y = 636; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  477; y = 636; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  530; y = 636; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  583; y = 636; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  636; y = 636; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  689; y = 636; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  742; y = 636; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  840; y = 659; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  880; y = 662; confidence = 0.01; MISS
image = 00101; scale_factor = 1.87460; x =  917; y = 632; confidence = 0.35; MISS
image = 00101; scale_factor = 1.87460; x =  939; y = 631; confidence = 0.38; MISS
image = 00101; scale_factor = 1.87460; x =  969; y = 668; confidence = 0.37; MISS
image = 00101; scale_factor = 1.87460; x = 1058; y = 646; confidence = 0.13; MISS
image = 00101; scale_factor = 1.87460; x = 1135; y = 619; confidence = 0.03; MISS
image = 00101; scale_factor = 1.87460; x = 1167; y = 636; confidence = 0.01; MISS
image = 00101; scale_factor = 1.87460; x = 1266; y = 624; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x = 1274; y = 636; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x = 1323; y = 636; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =   51; y = 695; confidence = 0.04; MISS
image = 00101; scale_factor = 1.87460; x =  114; y = 655; confidence = 0.35; MISS
image = 00101; scale_factor = 1.87460; x =  131; y = 653; confidence = 0.10; MISS
image = 00101; scale_factor = 1.87460; x =  212; y = 689; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  265; y = 689; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  318; y = 689; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  371; y = 689; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  424; y = 689; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  477; y = 689; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  530; y = 689; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  583; y = 689; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  636; y = 689; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  689; y = 689; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  742; y = 689; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  845; y = 683; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  862; y = 697; confidence = 0.41; MISS
image = 00101; scale_factor = 1.87460; x =  913; y = 723; confidence = 0.08; MISS
image = 00101; scale_factor = 1.87460; x =  963; y = 689; confidence = 0.29; MISS
image = 00101; scale_factor = 1.87460; x = 1004; y = 714; confidence = 0.43; MISS
image = 00101; scale_factor = 1.87460; x = 1036; y = 687; confidence = 0.01; MISS
image = 00101; scale_factor = 1.87460; x = 1114; y = 690; confidence = 0.10; MISS
image = 00101; scale_factor = 1.87460; x = 1176; y = 683; confidence = 0.22; MISS
image = 00101; scale_factor = 1.87460; x = 1219; y = 684; confidence = 0.01; MISS
image = 00101; scale_factor = 1.87460; x = 1272; y = 691; confidence = 0.05; MISS
image = 00101; scale_factor = 1.87460; x = 1324; y = 689; confidence = 0.02; MISS
image = 00101; scale_factor = 1.87460; x =   46; y = 710; confidence = 0.03; MISS
image = 00101; scale_factor = 1.87460; x =   74; y = 701; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  159; y = 742; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  212; y = 742; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  265; y = 742; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  318; y = 742; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  371; y = 742; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  424; y = 742; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  477; y = 742; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  530; y = 742; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  583; y = 742; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  636; y = 742; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  689; y = 742; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  742; y = 742; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  844; y = 734; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x =  859; y = 753; confidence = 0.30; MISS
image = 00101; scale_factor = 1.87460; x =  885; y = 741; confidence = 0.32; MISS
image = 00101; scale_factor = 1.87460; x =  954; y = 739; confidence = 0.39; MISS
image = 00101; scale_factor = 1.87460; x = 1009; y = 732; confidence = 0.45; MISS
image = 00101; scale_factor = 1.87460; x = 1010; y = 736; confidence = 0.10; MISS
image = 00101; scale_factor = 1.87460; x = 1103; y = 742; confidence = 0.00; MISS
image = 00101; scale_factor = 1.87460; x = 1194; y = 744; confidence = 0.28; MISS
image = 00101; scale_factor = 1.87460; x = 1194; y = 742; confidence = 0.33; MISS
